station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
BLA;04.09.2001 00:00;7.6;11.5;5;;;;90.7;9.5;;;;;;3.2;;;;;;;14.4;;;;;;;;;;;0;;12.4;4.4
BLA;05.09.2001 00:00;6;10.5;2;;;;77.9;7.2;;;;;;4.8;;;;;;;0;;;;;;;;;;;0;;14;6
BLA;06.09.2001 00:00;5.8;15;-2.5;;;;81.8;7.7;;;;;;2.9;;;;;;;5.7;;;;;;;;;;;0;;14.2;6.2
BLA;07.09.2001 00:00;7.6;14.5;-2.5;;;;89.4;9.7;;;;;;2.9;;;;;;;3.8;;;;;;;;;;;0;;12.4;4.4
BLA;08.09.2001 00:00;9.4;15;6;;;;73.5;7.9;;;;;;2.9;;;;;;;16.6;;;;;;;;;;;0;;10.6;2.6
BLA;09.09.2001 00:00;5.6;9;2;;;;58.5;5.1;;;;;;5;;;;;;;2.8;;;;;;;;;;;0;;14.4;6.4
BLA;10.09.2001 00:00;3;7.5;0;;;;75.1;5.3;;;;;;3.1;;;;;;;0;;;;;;;;;;;0;;17;9
BLA;11.09.2001 00:00;3.8;10;-2;;;;70.7;5.3;;;;;;4.6;;;;;;;0;;;;;;;;;;;0;;16.2;8.2
BLA;12.09.2001 00:00;6;13;-2;;;;71.7;6.6;;;;;;2.9;;;;;;;0;;;;;;;;;;;0;;14;6
BLA;13.09.2001 00:00;5.9;12.5;-0.4;;;;81.4;7.3;;;;;;1.5;;;;;;;1.8;;;;;;;;;;;0;;14.1;6.1
BLA;14.09.2001 00:00;5.8;9.2;3;;;;92.7;8.6;;;;;;2.6;;;;;;;6.5;;;;;;;;;;;0;;14.2;6.2
BLA;15.09.2001 00:00;6.5;13;0;;;;70.9;6.6;;;;;;3.3;;;;;;;0.3;;;;;;;;;;;0;;13.5;5.5
BLA;16.09.2001 00:00;3.3;5.5;0.9;;;;95.9;7.5;;;;;;4.6;;;;;;;11.2;;;;;;;;;;;0;;16.7;8.7
BLA;17.09.2001 00:00;2;7.5;-0.3;;;;83.7;6;;;;;;2.1;;;;;;;1;;;;;;;;;;;0;;18;10
BLA;18.09.2001 00:00;1.6;9.5;-5.3;;;;76;4.9;;;;;;1.2;;;;;;;0;;;;;;;;;;;0;;18.4;10.4
BLA;19.09.2001 00:00;4.6;10;-0.5;;;;74;6;;;;;;0.9;;;;;;;0;;;;;;;;;;;0;;15.4;7.4
BLA;20.09.2001 00:00;7.6;13;3;;;;75.2;7.5;;;;;;2.7;;;;;;;0.4;;;;;;;;;;;0;;12.4;4.4
BLA;21.09.2001 00:00;8.5;13;5.1;;;;75.7;7.9;;;;;;3.4;;;;;;;0;;;;;;;;;;;0;;11.5;3.5
BLA;22.09.2001 00:00;6.3;11.5;1;;;;84.6;8.1;;;;;;0.5;;;;;;;0.4;;;;;;;;;;;0;;13.7;5.7
BLA;23.09.2001 00:00;8.4;12.7;5;;;;90.8;10.1;;;;;;0.9;;;;;;;3.7;;;;;;;;;;;0;;11.6;3.6
BLA;24.09.2001 00:00;8.1;10;6;;;;95.2;10.3;;;;;;1.7;;;;;;;3.1;;;;;;;;;;;0;;11.9;3.9
BLA;25.09.2001 00:00;7;11.6;4.5;;;;86.1;8.7;;;;;;2.9;;;;;;;1.6;;;;;;;;;;;0;;13;5
BLA;26.09.2001 00:00;5.7;13;1.5;;;;78.5;6.8;;;;;;1.9;;;;;;;0;;;;;;;;;;;0;;14.3;6.3
BLA;27.09.2001 00:00;6.7;15.7;-0.5;;;;80.1;7.3;;;;;;1.2;;;;;;;0;;;;;;;;;;;0;;13.3;5.3
BLA;28.09.2001 00:00;7.6;17.7;0;;;;74.5;6.9;;;;;;1.2;;;;;;;0;;;;;;;;;;;0;;12.4;4.4
BLA;29.09.2001 00:00;7.9;13.1;2.7;;;;84.1;8.8;;;;;;0.7;;;;;;;4;;;;;;;;;;;0;;12.1;4.1
BLA;30.09.2001 00:00;8.6;15.5;6;;;;90.2;9.9;;;;;;2.9;;;;;;;1.4;;;;;;;;;;;0;;11.4;3.4
BLA;01.10.2001 00:00;8.3;19;1.7;;;;75.5;8.5;;;;;;2.6;;;;;;;0;;;;;;;;;;;0;;11.7;3.7
BLA;02.10.2001 00:00;10.9;22.6;4;;;;73.8;9.1;;;;;;1.2;;;;;;;0;;;;;;;;;;;0;;9.1;1.1
BLA;03.10.2001 00:00;10.4;19;3;;;;78.7;9.7;;;;;;2.2;;;;;;;3.4;;;;;;;;;;;0;;9.6;1.6
BLA;04.10.2001 00:00;8;13.5;5;;;;91.4;9.8;;;;;;3.1;;;;;;;0.1;;;;;;;;;;;0;;12;4
BLA;05.10.2001 00:00;7.8;17.1;1;;;;70;7.3;;;;;;1.2;;;;;;;0.1;;;;;;;;;;;0;;12.2;4.2
BLA;06.10.2001 00:00;11.2;18.5;6.5;;;;75.9;9.9;;;;;;0.3;;;;;;;0.4;;;;;;;;;;;0;;8.8;0.8
BLA;07.10.2001 00:00;8.2;14;3;;;;95.3;11;;;;;;3.3;;;;;;;10.6;;;;;;;;;;;0;;11.8;3.8
BLA;08.10.2001 00:00;8.7;14;2.5;;;;76.9;8.7;;;;;;1.5;;;;;;;0.1;;;;;;;;;;;0;;11.3;3.3
BLA;09.10.2001 00:00;8.2;14;4.5;;;;84.2;9.4;;;;;;0.9;;;;;;;0;;;;;;;;;;;0;;11.8;3.8
BLA;10.10.2001 00:00;7.8;15.7;2.7;;;;81.7;8.5;;;;;;0.7;;;;;;;0;;;;;;;;;;;0;;12.2;4.2
BLA;11.10.2001 00:00;7.7;18;1;;;;76.1;7.6;;;;;;1.5;;;;;;;0;;;;;;;;;;;0;;12.3;4.3
BLA;12.10.2001 00:00;8.7;21;2;;;;67.6;7.7;;;;;;3.1;;;;;;;0;;;;;;;;;;;0;;11.3;3.3
BLA;13.10.2001 00:00;10.5;21.5;3.4;;;;56.9;7.1;;;;;;0.9;;;;;;;0;;;;;;;;;;;0;;9.5;1.5
BLA;14.10.2001 00:00;9.1;19;3.7;;;;75.4;8.6;;;;;;2.6;;;;;;;0;;;;;;;;;;;0;;10.9;2.9
BLA;15.10.2001 00:00;8.9;19;3;;;;71.2;7.8;;;;;;2.1;;;;;;;0;;;;;;;;;;;0;;11.1;3.1
BLA;16.10.2001 00:00;8.3;17.4;2.9;;;;81.1;8.8;;;;;;1.7;;;;;;;0;;;;;;;;;;;0;;11.7;3.7
BLA;17.10.2001 00:00;7.9;18;2;;;;71.5;7.2;;;;;;1.5;;;;;;;0;;;;;;;;;;;0;;12.1;4.1
BLA;18.10.2001 00:00;6.6;16.5;0;;;;75.3;7;;;;;;1.5;;;;;;;0;;;;;;;;;;;0;;13.4;5.4
BLA;19.10.2001 00:00;7.1;16.5;2;;;;81;8;;;;;;2.9;;;;;;;0;;;;;;;;;;;0;;12.9;4.9
BLA;20.10.2001 00:00;9;17;2.5;;;;75.8;8.7;;;;;;3.1;;;;;;;9.9;;;;;;;;;;;0;;11;3
BLA;21.10.2001 00:00;6.9;10;5;;;;90.7;9.1;;;;;;1.7;;;;;;;2.5;;;;;;;;;;;0;;13.1;5.1
BLA;22.10.2001 00:00;3.8;12.8;0;;;;78;6.1;;;;;;1;;;;;;;0;;;;;;;;;;;0;;16.2;8.2
BLA;23.10.2001 00:00;6.4;13;0.4;;;;78.1;7.3;;;;;;1.5;;;;;;;3.6;;;;;;;;;;;0;;13.6;5.6
BLA;24.10.2001 00:00;5.8;10.7;2.9;;;;74.6;6.6;;;;;;3.9;;;;;;;2;;;;;;;;;;;0;;14.2;6.2
BLA;25.10.2001 00:00;4.7;10;3;;;;81;6.8;;;;;;4.1;;;;;;;0.1;;;;;;;;;;;0;;15.3;7.3
BLA;26.10.2001 00:00;3.1;13.8;-2.4;;;;81.8;6.2;;;;;;2.1;;;;;;;0;;;;;;;;;;;0;;16.9;8.9
BLA;27.10.2001 00:00;3.2;12.5;-2.5;;;;75.6;5.7;;;;;;1.5;;;;;;;0;;;;;;;;;;;0;;16.8;8.8
BLA;28.10.2001 00:00;3.8;13.5;-1.5;;;;81.4;6.5;;;;;;2.6;;;;;;;0;;;;;;;;;;;0;;16.2;8.2
BLA;29.10.2001 00:00;3.9;16;-0.5;;;;69.7;5.5;;;;;;1.5;;;;;;;0;;;;;;;;;;;0;;16.1;8.1
BLA;30.10.2001 00:00;6.1;16.6;0.8;;;;64.4;6.1;;;;;;1.2;;;;;;;0;;;;;;;;;;;0;;13.9;5.9
BLA;31.10.2001 00:00;6;16;0;;;;65.3;6.1;;;;;;2.7;;;;;;;0.1;;;;;;;;;;;0;;14;6
BLA;01.11.2001 00:00;0.8;8;-3;;;;83.9;5.5;;;;;;3.3;;;;;;;0;;;;;;;;;;;0;;19.2;11.2
BLA;02.11.2001 00:00;-0.8;11.3;-4.5;;;;81.3;4.6;;;;;;2.6;;;;;;;0;;;;;;;;;;;0;;20.8;12.8
BLA;03.11.2001 00:00;1.7;11.3;-4.5;;;;83.2;5.7;;;;;;2.6;;;;;;;0;;;;;;;;;;;0;;18.3;10.3
BLA;04.11.2001 00:00;2.6;13.2;-3;;;;80.8;5.9;;;;;;2.1;;;;;;;0;;;;;;;;;;;0;;17.4;9.4
BLA;05.11.2001 00:00;0.9;6.5;-3;;;;86.9;5.6;;;;;;2.7;;;;;;;0;;;;;;;;;;;0;;19.1;11.1
BLA;06.11.2001 00:00;0;3;-3;;;;95;5.9;;;;;;3.3;;;;;;;2.4;;;;;;;;;;;0;;20;12
BLA;07.11.2001 00:00;2.3;5;0;;;;96.5;7;;;;;;1;;;;;;;12;;;;;;;;;;;0;;17.7;9.7
BLA;08.11.2001 00:00;2.2;6;0;;;;87.9;5.8;;;;;;4.8;;;;;;;11.4;;;;;;;;;;;0;;17.8;9.8
BLA;09.11.2001 00:00;-4.6;-1.3;-6;;;;56.8;2.4;;;;;;7.2;;;;;;;0.1;;;;;;;;;;;0;;24.6;16.6
BLA;10.11.2001 00:00;-6.1;2;-12;;;;75.2;3;;;;;;3.3;;;;;;;0;;;;;;;;;;;0;;26.1;18.1
BLA;11.11.2001 00:00;-2.1;4.5;-8;;;;85;4.7;;;;;;4;;;;;;;0;;;;;;;;;;;0;;22.1;14.1
BLA;12.11.2001 00:00;0.5;4;-2.5;;;;96.7;6.2;;;;;;1.5;;;;;;;0;;;;;;;;;;;0;;19.5;11.5
BLA;13.11.2001 00:00;-2.9;-1.5;-3;;;;100;4.9;;;;;;2.1;;;;;;;1;;;;;;;;;;;0;;22.9;14.9
BLA;14.11.2001 00:00;-3.2;3;-4;;;;95.7;4.6;;;;;;4.4;;;;;;;0.9;;;;;;;;;;;0;;23.2;15.2
BLA;15.11.2001 00:00;-3.5;3;-8;;;;81.4;4;;;;;;1.9;;;;;;;0;;;;;;;;;;;0;;23.5;15.5
BLA;16.11.2001 00:00;-3.2;7;-7;;;;73;3.4;;;;;;2.7;;;;;;;0;;;;;;;;;;;0;;23.2;15.2
BLA;17.11.2001 00:00;-2.2;7.1;-6.1;;;;69.8;3.6;;;;;;2.2;;;;;;;0;;;;;;;;;;;0;;22.2;14.2
BLA;18.11.2001 00:00;-2.3;5;-5.5;;;;76;4;;;;;;3.3;;;;;;;0;;;;;;;;;;;0;;22.3;14.3
BLA;19.11.2001 00:00;-2.8;3;-6.5;;;;80.1;3.9;;;;;;2.4;;;;;;;0;;;;;;;;;;;0;;22.8;14.8
BLA;20.11.2001 00:00;-5.3;3.5;-8;;;;81.4;3.3;;;;;;2.6;;;;;;;0;;;;;;;;;;;0;;25.3;17.3
BLA;21.11.2001 00:00;-4.8;4.5;-8;;;;73.3;3.1;;;;;;3.4;;;;;;;0;;;;;;;;;;;0;;24.8;16.8
BLA;22.11.2001 00:00;-2.5;5;-7.5;;;;60;3.2;;;;;;4.3;;;;;;;4.9;;;;;;;;;;;0;;22.5;14.5
BLA;23.11.2001 00:00;-5.9;-2;-9;;;;64.9;2.6;;;;;;6.5;;;;;;;1.8;;;;;;;;;;;0;;25.9;17.9
BLA;24.11.2001 00:00;-9.3;-4.4;-14.4;;;;82;2.7;;;;;;2.2;;;;;;;0.9;;;;;;;;;;;0;;29.3;21.3
BLA;25.11.2001 00:00;-2.6;2;-6;;;;96.7;5.1;;;;;;4.1;;;;;;;0.8;;;;;;;;;;;0;;22.6;14.6
BLA;26.11.2001 00:00;0.3;4;-3.5;;;;88.5;5.7;;;;;;1.2;;;;;;;0;;;;;;;;;;;0;;19.7;11.7
BLA;27.11.2001 00:00;-0.6;1.5;-4;;;;90.5;5.5;;;;;;0.9;;;;;;;0.8;;;;;;;;;;;0;;20.6;12.6
BLA;28.11.2001 00:00;-3.3;1;-10;;;;87.2;4.4;;;;;;3.3;;;;;;;1.2;;;;;;;;;;;0;;23.3;15.3
BLA;29.11.2001 00:00;-6.9;0;-11;;;;77.4;3;;;;;;1.5;;;;;;;16;;;;;;;;;;;0;;26.9;18.9
BLA;30.11.2001 00:00;0.8;4;-3.5;;;;98.4;6.6;;;;;;1.7;;;;;;;12.3;;;;;;;;;;;0;;19.2;11.2
BLA;01.12.2001 00:00;2;4.1;0;;;;97.4;6.9;;;;;;1.2;;;;;;;1.3;;;;;;;;;;;0;;18;10
BLA;02.12.2001 00:00;-0.7;5;-1.5;;;;95.2;5.6;;;;;;1.2;;;;;;;0;;;;;;;;;;;0;;20.7;12.7
BLA;03.12.2001 00:00;-1.5;6.5;-4;;;;85.7;4.7;;;;;;1.9;;;;;;;0;;;;;;;;;;;0;;21.5;13.5
BLA;04.12.2001 00:00;0.2;5;-4;;;;81.9;5.1;;;;;;2.4;;;;;;;1;;;;;;;;;;;0;;19.8;11.8
BLA;05.12.2001 00:00;2;5;0;;;;85.1;5.9;;;;;;5.3;;;;;;;10.2;;;;;;;;;;;0;;18;10
BLA;06.12.2001 00:00;2.3;7.5;-0.5;;;;62.2;4.3;;;;;;5.3;;;;;;;0;;;;;;;;;;;0;;17.7;9.7
BLA;07.12.2001 00:00;-4.8;0.5;-6.8;;;;77.8;3.4;;;;;;2.4;;;;;;;0;;;;;;;;;;;0;;24.8;16.8
BLA;08.12.2001 00:00;-8.4;-1;-10;;;;67.5;2.2;;;;;;1.2;;;;;;;0;;;;;;;;;;;0;;28.4;20.4
BLA;09.12.2001 00:00;-7.6;1;-10;;;;71.4;2.5;;;;;;2.7;;;;;;;0;;;;;;;;;;;0;;27.6;19.6
BLA;10.12.2001 00:00;-9.5;-1.5;-11.5;;;;72.1;2.2;;;;;;1.9;;;;;;;0;;;;;;;;;;;0;;29.5;21.5
BLA;11.12.2001 00:00;-7.4;0.5;-10.5;;;;76;2.7;;;;;;1.5;;;;;;;0;;;;;;;;;;;0;;27.4;19.4
BLA;12.12.2001 00:00;-6.8;0;-9;;;;78.2;2.9;;;;;;2.7;;;;;;;0;;;;;;;;;;;0;;26.8;18.8
BLA;13.12.2001 00:00;-6.8;0;-12;;;;54;1.6;;;;;;14.2;;;;;;;0;;;;;;;;;;;0;;26.8;18.8
BLA;14.12.2001 00:00;-10;-2;-12;;;;55.5;1.6;;;;;;7.2;;;;;;;0;;;;;;;;;;;0;;30;22
BLA;15.12.2001 00:00;-9.9;-2.1;-14;;;;65.9;2;;;;;;4;;;;;;;0;;;;;;;;;;;0;;29.9;21.9
BLA;16.12.2001 00:00;-10.6;-2.5;-12;;;;74.1;2;;;;;;2.1;;;;;;;0;;;;;;;;;;;0;;30.6;22.6
BLA;17.12.2001 00:00;-11;-3;-13;;;;73;1.9;;;;;;3.3;;;;;;;0;;;;;;;;;;;0;;31;23
BLA;18.12.2001 00:00;-10.5;-2.3;-12.6;;;;76.6;2.1;;;;;;3.3;;;;;;;0;;;;;;;;;;;0;;30.5;22.5
BLA;19.12.2001 00:00;-10.4;-2;-12;;;;76;2.1;;;;;;1.9;;;;;;;0;;;;;;;;;;;0;;30.4;22.4
BLA;20.12.2001 00:00;-12.8;-6;-14;;;;78.6;1.8;;;;;;3.3;;;;;;;0;;;;;;;;;;;0;;32.8;24.8
BLA;21.12.2001 00:00;-13;-5.5;-16;;;;79.8;1.9;;;;;;2.4;;;;;;;0.2;;;;;;;;;;;0;;33;25
BLA;22.12.2001 00:00;-5.8;-3.9;-13.4;;;;97.5;4.1;;;;;;3.3;;;;;;;6.2;;;;;;;;;;;0;;25.8;17.8
BLA;23.12.2001 00:00;-13.2;-8;-17;;;;77.7;1.8;;;;;;3.3;;;;;;;0;;;;;;;;;;;0;;33.2;25.2
BLA;24.12.2001 00:00;-17.6;-9;-22;;;;73.6;1.2;;;;;;2.7;;;;;;;0;;;;;;;;;;;0;;37.6;29.6
BLA;25.12.2001 00:00;-9.7;-3;-14;;;;75.5;2.3;;;;;;2.6;;;;;;;0.7;;;;;;;;;;;0;;29.7;21.7
BLA;26.12.2001 00:00;-5.9;-3;-10;;;;86;3.5;;;;;;2.9;;;;;;;2.1;;;;;;;;;;;0;;25.9;17.9
BLA;27.12.2001 00:00;-11.2;-3;-15.5;;;;58.2;1.6;;;;;;4;;;;;;;5.5;;;;;;;;;;;0;;31.2;23.2
BLA;28.12.2001 00:00;-2.2;0;-8;;;;93;4.9;;;;;;1;;;;;;;16.4;;;;;;;;;;;0;;22.2;14.2
BLA;29.12.2001 00:00;0.2;2.2;-2;;;;96.6;6.1;;;;;;2.4;;;;;;;38.7;;;;;;;;;;;0;;19.8;11.8
BLA;30.12.2001 00:00;-3.9;1.5;-9;;;;65.8;3.1;;;;;;4.6;;;;;;;0;;;;;;;;;;;0;;23.9;15.9
BLA;31.12.2001 00:00;-10.8;-5.5;-17;;;;52.5;1.4;;;;;;9.8;;;;;;;0;;;;;;;;;;;0;;30.8;22.8
BLA;01.01.2002 00:00;-16.9;-8.7;-19.2;;;;;1.3;;;;;;2.2;;7.9;;;;;0;;;;;;;;;;;0;;36.9;28.9
BLA;02.01.2002 00:00;-14.2;-5;-18;;;;;1.7;;;;;;2.4;;8.6;;;;;0;;;;;;;;;;;0;;34.2;26.2
BLA;03.01.2002 00:00;-10.6;-1.5;-14;;;;;2.3;;;;;;3.3;;11.9;;;;;0;;;;;;;;;;;0;;30.6;22.6
BLA;04.01.2002 00:00;-12;-4;-13;;;;;2;;;;;;3.4;;12.2;;;;;0;;;;;;;;;;;0;;32;24
BLA;05.01.2002 00:00;-11.4;-2.1;-13.8;;;;;2.2;;;;;;1.7;;6.1;;;;;0;;;;;;;;;;;0;;31.4;23.4
BLA;06.01.2002 00:00;-8.7;0;-11.5;;;;;2.7;;;;;;2.1;;7.6;;;;;0;;;;;;;;;;;0;;28.7;20.7
BLA;07.01.2002 00:00;-7.9;2;-10;;;;;2.6;;;;;;3.4;;12.2;;;;;0;;;;;;;;;;;0;;27.9;19.9
BLA;08.01.2002 00:00;-11;-1.5;-13;;;;;2.1;;;;;;3.1;;11.2;;;;;0;;;;;;;;;;;0;;31;23
BLA;09.01.2002 00:00;-10;0;-12;;;;;2.3;;;;;;2.4;;8.6;;;;;0;;;;;;;;;;;0;;30;22
BLA;10.01.2002 00:00;-10.8;-1;-13;;;;;2.2;;;;;;1.5;;5.4;;;;;0;;;;;;;;;;;0;;30.8;22.8
BLA;11.01.2002 00:00;-11.1;-2.3;-13.4;;;;;2.2;;;;;;1.5;;5.4;;;;;0;;;;;;;;;;;0;;31.1;23.1
BLA;12.01.2002 00:00;-8.5;0.2;-12;;;;;2.9;;;;;;1.2;;4.3;;;;;0;;;;;;;;;;;0;;28.5;20.5
BLA;13.01.2002 00:00;-7.4;1.5;-11;;;;;2.9;;;;;;4.6;;16.6;;;;;0;;;;;;;;;;;0;;27.4;19.4
BLA;14.01.2002 00:00;-9.6;0;-11.2;;;;;2.5;;;;;;4.6;;16.6;;;;;0;;;;;;;;;;;0;;29.6;21.6
BLA;15.01.2002 00:00;-12.3;-3;-15;;;;;1.8;;;;;;2.7;;9.7;;;;;0;;;;;;;;;;;0;;32.3;24.3
BLA;16.01.2002 00:00;-10.2;-2.5;-14.5;;;;;2.3;;;;;;2.1;;7.6;;;;;0;;;;;;;;;;;0;;30.2;22.2
BLA;17.01.2002 00:00;-11.9;-2.5;-14;;;;;2.2;;;;;;1.5;;5.4;;;;;0;;;;;;;;;;;0;;31.9;23.9
BLA;18.01.2002 00:00;-12;-2;-14;;;;;2;;;;;;3.3;;11.9;;;;;0;;;;;;;;;;;0;;32;24
BLA;19.01.2002 00:00;-7.3;-1;-13.5;;;;;2.9;;;;;;2.7;;9.7;;;;;0;;;;;;;;;;;0;;27.3;19.3
BLA;20.01.2002 00:00;-5.2;2;-9;;;;;3.3;;;;;;2.7;;9.7;;;;;0.2;;;;;;;;;;;0;;25.2;17.2
BLA;21.01.2002 00:00;-0.3;7.5;-5.5;;;;;5.2;;;;;;1.5;;5.4;;;;;0;;;;;;;;;;;0;;20.3;12.3
BLA;22.01.2002 00:00;-3.8;4.1;-7.5;;;;;3.7;;;;;;1.5;;5.4;;;;;0;;;;;;;;;;;0;;23.8;15.8
BLA;23.01.2002 00:00;-3.6;1.5;-10;;;;;3.6;;;;;;1.5;;5.4;;;;;1.5;;;;;;;;;;;0;;23.6;15.6
BLA;24.01.2002 00:00;-0.8;0.5;-3;;;;;5.6;;;;;;0.3;;1.1;;;;;3;;;;;;;;;;;0;;20.8;12.8
BLA;25.01.2002 00:00;-4.4;1.7;-5.4;;;;;4;;;;;;3.1;;11.2;;;;;0.2;;;;;;;;;;;0;;24.4;16.4
BLA;26.01.2002 00:00;0.6;7;-4.5;;;;;4.1;;;;;;3.1;;11.2;;;;;0;;;;;;;;;;;0;;19.4;11.4
BLA;27.01.2002 00:00;3.5;7.4;1.2;;;;;6.2;;;;;;5.7;;20.5;;;;;22.5;;;;;;;;;;;0;;16.5;8.5
BLA;28.01.2002 00:00;0.5;6.7;0;;;;;5.7;;;;;;2.4;;8.6;;;;;0;;;;;;;;;;;0;;19.5;11.5
BLA;29.01.2002 00:00;-1.3;8.3;-6.5;;;;;3.6;;;;;;2.4;;8.6;;;;;0;;;;;;;;;;;0;;21.3;13.3
BLA;30.01.2002 00:00;0.6;8;-1.5;;;;;4.1;;;;;;1.7;;6.1;;;;;0;;;;;;;;;;;0;;19.4;11.4
BLA;31.01.2002 00:00;-0.3;6;-2;;;;;4.4;;;;;;1.7;;6.1;;;;;0;;;;;;;;;;;0;;20.3;12.3
BLA;01.02.2002 00:00;0.5;6;-1;;;;;4.8;;;;;;1.5;;5.4;;;;;0;;;;;;;;;;;0;;19.5;11.5
BLA;02.02.2002 00:00;-1.6;7.5;-5;;;;;4.6;;;;;;1.5;;5.4;;;;;0;;;;;;;;;;;0;;21.6;13.6
BLA;03.02.2002 00:00;-1.4;6.5;-4;;;;;4.4;;;;;;3.1;;11.2;;;;;0;;;;;;;;;;;0;;21.4;13.4
BLA;04.02.2002 00:00;-0.9;6.6;-3;;;;;4.4;;;;;;2.4;;8.6;;;;;0;;;;;;;;;;;0;;20.9;12.9
BLA;05.02.2002 00:00;1.2;5.8;-6;;;;;5.4;;;;;;2.4;;8.6;;;;;0.7;;;;;;;;;;;0;;18.8;10.8
BLA;06.02.2002 00:00;-1;0.8;-3;;;;;5.6;;;;;;1.9;;6.8;;;;;10.5;;;;;;;;;;;0;;21;13
BLA;07.02.2002 00:00;-4.7;2.4;-9.5;;;;;3.4;;;;;;2.4;;8.6;;;;;0.1;;;;;;;;;;;0;;24.7;16.7
BLA;08.02.2002 00:00;-2.1;1.5;-10;;;;;5.3;;;;;;1.7;;6.1;;;;;3.1;;;;;;;;;;;0;;22.1;14.1
BLA;09.02.2002 00:00;1.1;6;-2;;;;;5.9;;;;;;1.2;;4.3;;;;;3.3;;;;;;;;;;;0;;18.9;10.9
BLA;10.02.2002 00:00;-1;0.7;-3.6;;;;;5.1;;;;;;3.9;;14;;;;;1.6;;;;;;;;;;;0;;21;13
BLA;11.02.2002 00:00;0.4;7.9;-6;;;;;5;;;;;;0.9;;3.2;;;;;0;;;;;;;;;;;0;;19.6;11.6
BLA;12.02.2002 00:00;-0.8;8.7;-5.2;;;;;4.2;;;;;;1.5;;5.4;;;;;0;;;;;;;;;;;0;;20.8;12.8
BLA;13.02.2002 00:00;-2.5;8;-8;;;;;4.1;;;;;;2.1;;7.6;;;;;0;;;;;;;;;;;0;;22.5;14.5
BLA;14.02.2002 00:00;1.4;6.7;-4;;;;;4.8;;;;;;4.6;;16.6;;;;;0;;;;;;;;;;;0;;18.6;10.6
BLA;15.02.2002 00:00;1.2;4.3;-2.5;;;;;5.5;;;;;;1.7;;6.1;;;;;3.4;;;;;;;;;;;0;;18.8;10.8
BLA;16.02.2002 00:00;-1;2.5;-4;;;;;5;;;;;;3.3;;11.9;;;;;0.6;;;;;;;;;;;0;;21;13
BLA;17.02.2002 00:00;-3.8;4.2;-8.3;;;;;3.2;;;;;;0.3;;1.1;;;;;0;;;;;;;;;;;0;;23.8;15.8
BLA;18.02.2002 00:00;-4.5;3.8;-12.1;;;;;2.9;;;;;;2.6;;9.4;;;;;0.6;;;;;;;;;;;0;;24.5;16.5
BLA;19.02.2002 00:00;-2.5;0.5;-5;;;;;3.7;;;;;;3.4;;12.2;;;;;3.3;;;;;;;;;;;0;;22.5;14.5
BLA;20.02.2002 00:00;-2.4;-0.5;-5.5;;;;;4.8;;;;;;0.9;;3.2;;;;;31.2;;;;;;;;;;;0;;22.4;14.4
BLA;21.02.2002 00:00;-5.4;-0.5;-8;;;;;2.9;;;;;;14.2;;51.1;;;;;3.7;;;;;;;;;;;0;;25.4;17.4
BLA;22.02.2002 00:00;-8;0;-19.5;;;;;2.9;;;;;;4.8;;17.3;;;;;4;;;;;;;;;;;0;;28;20
BLA;23.02.2002 00:00;-0.4;3.5;-3.5;;;;;4.5;;;;;;3.9;;14;;;;;9.1;;;;;;;;;;;0;;20.4;12.4
BLA;24.02.2002 00:00;-4.2;-2.5;-6;;;;;2.3;;;;;;11;;39.6;;;;;13.6;;;;;;;;;;;0;;24.2;16.2
BLA;25.02.2002 00:00;-0.7;3;-6;;;;;4.9;;;;;;2.6;;9.4;;;;;0.9;;;;;;;;;;;0;;20.7;12.7
BLA;26.02.2002 00:00;2.4;6.4;-3.5;;;;;6;;;;;;3.9;;14;;;;;10.4;;;;;;;;;;;0;;17.6;9.6
BLA;27.02.2002 00:00;2.1;4.5;-0.4;;;;;6.7;;;;;;4;;14.4;;;;;8.3;;;;;;;;;;;0;;17.9;9.9
BLA;28.02.2002 00:00;-0.1;4;-2;;;;;5.1;;;;;;3.9;;14;;;;;0;;;;;;;;;;;0;;20.1;12.1
BLA;01.03.2002 00:00;-1.6;5.3;-7.8;;;;;3.9;;;;;;3.3;;11.9;;;;;8.1;;;;;;;;;;;0;;21.6;13.6
BLA;02.03.2002 00:00;0;3;-4.5;;;;;5.7;;;;;;1.9;;6.8;;;;;11.8;;;;;;;;;;;0;;20;12
BLA;03.03.2002 00:00;-1.9;3;-5;;;;;4.8;;;;;;4.6;;16.6;;;;;0;;;;;;;;;;;0;;21.9;13.9
BLA;04.03.2002 00:00;-2.8;7.8;-11.3;;;;;3.7;;;;;;3.4;;12.2;;;;;0;;;;;;;;;;;0;;22.8;14.8
BLA;05.03.2002 00:00;0.3;8.9;-6;;;;;3.8;;;;;;3.4;;12.2;;;;;1.8;;;;;;;;;;;0;;19.7;11.7
